work_period,mean_value,peak_value,period_start_time,period_end_time,interval_id,mean_value_z,peak_value_z
1,3.302866484375,8.908955,2022-10-17 12:19:22.005000+00:00,2022-10-17 12:19:55.136000+00:00,1,0.06711159514412529,1.4440764790746934
2,3.4498317105263157,6.300471249999999,2022-10-17 12:20:56.771000+00:00,2022-10-17 12:21:31.056000+00:00,1,0.5503695925261484,-0.6648817172822111
3,3.491427302631579,6.707683749999999,2022-10-17 12:21:46.588000+00:00,2022-10-17 12:22:21.050000+00:00,1,0.6871461829286474,-0.3356505539544789
4,3.2554714583333335,5.874910000000001,2022-10-17 12:22:45.266000+00:00,2022-10-17 12:23:17.894000+00:00,1,-0.08873496781888836,-1.0089478385449508
5,2.8810571527777777,6.63201875,2022-10-17 12:23:49.839000+00:00,2022-10-17 12:24:22.332000+00:00,1,-1.3199017698735722,-0.3968256798977948
6,2.839394765625,5.54540375,2022-10-17 12:24:39.488000+00:00,2022-10-17 12:25:11.977000+00:00,1,-1.456897998905849,-1.2753535260207989
7,3.030460147058823,5.872156249999999,2022-10-17 12:25:49.703000+00:00,2022-10-17 12:26:24.206000+00:00,1,-0.8286277881984899,-1.0111742444534493
8,2.6434828125,5.1461250000000005,2022-10-17 12:26:43.029000+00:00,2022-10-17 12:33:48.840000+00:00,1,-2.1011049355379856,-1.5981702552580956
9,3.2081163157894736,7.015792500000002,2022-10-17 12:34:07.501000+00:00,2022-10-17 12:34:41.785000+00:00,1,-0.24445038398082977,-0.08654473771859664
10,3.4653272916666666,5.787941249999999,2022-10-17 12:34:58.709000+00:00,2022-10-17 12:35:31.262000+00:00,1,0.6013228942442475,-1.0792620423959112
11,3.586540921052632,8.03973875,2022-10-17 12:35:51.838000+00:00,2022-10-17 12:36:25.716000+00:00,2,0.999903274967486,0.7413154460247028
12,3.7645833088235294,7.6344537500000005,2022-10-17 12:36:48.315000+00:00,2022-10-17 12:37:23.086000+00:00,2,1.5853506628733176,0.41364266577046277
13,2.90820578125,6.26183375,2022-10-17 12:38:03.164000+00:00,2022-10-17 12:38:32.099000+00:00,2,-1.2306303675784027,-0.6961201224713323
14,3.188224078947368,6.18547375,2022-10-17 12:44:50.740000+00:00,2022-10-17 12:45:25.360000+00:00,2,-0.30986097661903084,-0.7578571556707201
15,3.479666875,6.995066250000002,2022-10-17 12:45:46.216000+00:00,2022-10-17 12:46:19.107000+00:00,2,0.6484749893788097,-0.10330190356915729
16,3.4793269852941178,7.026185000000001,2022-10-17 12:46:37.915000+00:00,2022-10-17 12:47:08.489000+00:00,2,0.6473573479959001,-0.078142405116127
17,3.557462734375,7.896621250000001,2022-10-17 12:59:11.204000+00:00,2022-10-17 12:59:44.209000+00:00,2,0.9042870082537213,0.6256049975056707
18,3.405709513888889,7.643535000000002,2022-10-17 13:00:01.299000+00:00,2022-10-17 13:00:37.431000+00:00,2,0.40528490177661686,0.4209848532081529
19,3.850999144736842,7.6658100000000005,2022-10-17 13:00:50.747000+00:00,2022-10-17 13:01:25.245000+00:00,2,1.8695072956985788,0.43899418289013664
20,3.677701607142857,8.3599175,2022-10-17 13:01:58.948000+00:00,2022-10-17 13:08:11.543000+00:00,2,1.2996621482303037,1.0001798530242896
21,3.6539671710526314,9.089153750000001,2022-10-17 13:08:22.832000+00:00,2022-10-17 13:08:57.227000+00:00,3,1.221617454568248,1.5897671052040567
22,3.2068365131578944,6.9460575,2022-10-17 13:11:47.732000+00:00,2022-10-17 13:12:22.440000+00:00,3,-0.2486586914354411,-0.1429254607432088
23,2.998574539473684,7.0393775000000005,2022-10-17 13:12:39.134000+00:00,2022-10-17 13:13:13.727000+00:00,3,-0.9334755489268559,-0.06747627349639279
24,3.058091176470588,6.041745,2022-10-17 13:13:32.534000+00:00,2022-10-17 13:14:03.659000+00:00,3,-0.7377701323514861,-0.8740617996002185
25,3.49618640625,8.89882875,2022-10-17 13:14:24.299000+00:00,2022-10-17 13:14:56.816000+00:00,3,0.7027952922057199,1.4358894095037746
26,3.5730483088235294,9.38824,2022-10-17 13:15:13.781000+00:00,2022-10-17 13:15:47.876000+00:00,3,0.9555362302179017,1.8315782333566268
27,2.9580939583333334,6.68947625,2022-10-17 13:16:04.915000+00:00,2022-10-17 13:16:37.469000+00:00,3,-1.0665857076157192,-0.35037131131406235
28,3.3509049305555556,6.904353749999999,2022-10-17 13:17:13.315000+00:00,2022-10-17 13:17:46.096000+00:00,3,0.22507388259474465,-0.17664292798114767
29,3.3040290277777777,6.9508475,2022-10-17 13:18:19.675000+00:00,2022-10-17 13:18:55.863000+00:00,3,0.07093432526477049,-0.1390527474243893
30,3.2347981578947365,7.17151125,2022-10-17 13:19:11.050000+00:00,2022-10-17 13:19:45.820000+00:00,3,-0.15671389066249378,0.039353817002684664
31,3.8762665277777777,8.816535,2022-10-17 13:20:15.677000+00:00,2022-10-17 13:20:48.502000+00:00,4,1.9525926979207004,1.3693549415119977
32,3.698615069444445,10.29944125,2022-10-17 13:21:07.025000+00:00,2022-10-17 13:21:39.473000+00:00,4,1.36843078265396,2.5682841241708423
33,3.0503780263157894,5.966011249999999,2022-10-17 13:22:15.112000+00:00,2022-10-17 13:22:49.949000+00:00,4,-0.763132876960725,-0.9352925098944058
34,2.845050147058824,5.3445275,2022-10-17 13:24:08.166000+00:00,2022-10-17 13:24:42.112000+00:00,4,-1.438301706587506,-1.4377619036428329
35,3.4592165625,8.935685000000003,2022-10-17 13:25:06.678000+00:00,2022-10-17 13:25:39.128000+00:00,4,0.5812293060059878,1.465687674693077
36,3.550911015625,8.354528750000002,2022-10-17 13:25:58.066000+00:00,2022-10-17 13:26:30.417000+00:00,4,0.8827433372408565,0.995823050540619
37,3.7777828947368417,10.432156249999998,2022-10-17 13:26:45.544000+00:00,2022-10-17 13:27:19.879000+00:00,4,1.628754164652518,2.675584155090914
38,3.4299467105263157,7.341172500000001,2022-10-17 13:44:06.902000+00:00,2022-10-17 13:44:41.024000+00:00,4,0.4849827964139344,0.17652487808046952
39,3.215913046875,6.670255,2022-10-17 13:45:45.322000+00:00,2022-10-17 13:46:18.421000+00:00,4,-0.21881280460788194,-0.36591168519284367
40,3.2039513235294117,6.3739975,2022-10-17 13:46:35.314000+00:00,2022-10-17 13:47:09.395000+00:00,4,-0.25814590823115013,-0.6054357699632418
41,2.686232867647059,4.51193375,2022-10-17 13:47:28.226000+00:00,2022-10-17 13:48:02.495000+00:00,5,-1.9605321852394353,-2.110913658296482
42,3.518851315789474,6.885375,2022-10-17 13:48:17.715000+00:00,2022-10-17 13:48:51.914000+00:00,5,0.7773231181528836,-0.19198724069504047
43,3.001391911764706,6.159772500000001,2022-10-17 13:49:14.681000+00:00,2022-10-17 13:49:45.274000+00:00,5,-0.9242113323030063,-0.7786366072751688
44,3.28764125,7.021087499999999,2022-10-17 13:50:34.080000+00:00,2022-10-17 13:51:08.503000+00:00,5,0.01704726042756542,-0.0822637320770224
