work_period,mean_value,peak_value,period_start_time,period_end_time,interval_id,mean_value_z,peak_value_z,split
1,3.302866484375,8.908955,2022-10-17 12:19:22.005000+00:00,2022-10-17 12:19:55.136000+00:00,1,0.09035269349122506,1.422333356182435,train
2,3.449831710526316,6.300471249999999,2022-10-17 12:20:56.771000+00:00,2022-10-17 12:21:31.056000+00:00,1,0.5709549686783999,-0.6523637369374654,train
3,3.491427302631579,6.707683749999999,2022-10-17 12:21:46.588000+00:00,2022-10-17 12:22:21.050000+00:00,1,0.7069799095917311,-0.32848110204196834,train
4,3.255471458333333,5.874910000000001,2022-10-17 12:22:45.266000+00:00,2022-10-17 12:23:17.894000+00:00,1,-0.06463742182168583,-0.9908403282980471,train
5,2.8810571527777777,6.63201875,2022-10-17 12:23:49.839000+00:00,2022-10-17 12:24:22.332000+00:00,1,-1.2890384030943194,-0.38866240681372133,train
6,2.839394765625,5.54540375,2022-10-17 12:24:39.488000+00:00,2022-10-17 12:25:11.977000+00:00,1,-1.4252817756233975,-1.2529181192905499,train
7,3.030460147058823,5.872156249999999,2022-10-17 12:25:49.703000+00:00,2022-10-17 12:26:24.206000+00:00,1,-0.8004641950886944,-0.9930305651052278,train
8,2.6434828125,5.1461250000000005,2022-10-17 12:26:43.029000+00:00,2022-10-17 12:33:48.840000+00:00,1,-2.0659485025353472,-1.5704905258541508,train
9,3.2081163157894736,7.015792500000002,2022-10-17 12:34:07.501000+00:00,2022-10-17 12:34:41.785000+00:00,1,-0.21949711104476127,-0.08342213704369655,train
10,3.465327291666666,5.787941249999999,2022-10-17 12:34:58.709000+00:00,2022-10-17 12:35:31.262000+00:00,1,0.6216282588602015,-1.0600122419882414,train
11,3.586540921052632,8.03973875,2022-10-17 12:35:51.838000+00:00,2022-10-17 12:36:25.716000+00:00,2,1.0180182593533103,0.7309890351117818,train
12,3.7645833088235294,7.63445375,2022-10-17 12:36:48.315000+00:00,2022-10-17 12:37:23.086000+00:00,2,1.6002483479482126,0.4086394665606652,train
13,2.90820578125,6.26183375,2022-10-17 12:38:03.164000+00:00,2022-10-17 12:38:32.099000+00:00,2,-1.2002575877024706,-0.6830946582765071,train
14,3.188224078947368,6.18547375,2022-10-17 12:44:50.740000+00:00,2022-10-17 12:45:25.360000+00:00,2,-0.28454824276645685,-0.7438287418339131,train
15,3.479666875,6.995066250000002,2022-10-17 12:45:46.216000+00:00,2022-10-17 12:46:19.107000+00:00,2,0.6685212318151822,-0.09990707417480824,train
16,3.4793269852941178,7.026185000000001,2022-10-17 12:46:37.915000+00:00,2022-10-17 12:47:08.489000+00:00,2,0.6674097323793123,-0.07515630462658958,train
17,3.557462734375,7.896621250000001,2022-10-17 12:59:11.204000+00:00,2022-10-17 12:59:44.209000+00:00,2,0.9229274474547294,0.6171583619383012,train
18,3.405709513888889,7.643535000000002,2022-10-17 13:00:01.299000+00:00,2022-10-17 13:00:37.431000+00:00,2,0.4266675842030389,0.41586237641275825,train
19,3.850999144736842,7.66581,2022-10-17 13:00:50.747000+00:00,2022-10-17 13:01:25.245000+00:00,2,1.8828434110101262,0.43357913533419723,train
20,3.677701607142857,8.3599175,2022-10-17 13:01:58.948000+00:00,2022-10-17 13:08:11.543000+00:00,2,1.3161298214549269,0.9856480575817371,train
