Number_Beds,Price
3,779900.0
3,799999.0
2,799900.0
4,1200000.0
1,668800.0
2,669900.0
2,699000.0
3,978000.0
2,958000.0
2,1899000.0
2,559900.0
1,498800.0
4,1450000.0
2,650000.0
2,745000.0
3,784900.0
4,998000.0
4,989900.0
3,1099000.0
2,590000.0
2,899900.0
2,585000.0
3,899000.0
1,488000.0
2,650000.0
2,498000.0
3,1595000.0
1,718000.0
2,1350000.0
3,999000.0
2,819000.0
1,639000.0
3,799900.0
2,789900.0
1,549900.0
3,1149900.0
4,2699900.0
6,1299000.0
4,1588000.0
1,564000.0
3,1195000.0
1,515000.0
5,1298800.0
2,1050000.0
3,1190000.0
4,2688000.0
2,835500.0
4,1295000.0
2,699000.0
3,2388800.0
2,681000.0
2,899000.0
2,595000.0
2,718000.0
2,599000.0
2,999900.0
4,5800000.0
2,699900.0
1,649000.0
2,439000.0
4,998000.0
2,879000.0
1,499000.0
4,1169000.0
2,799900.0
3,1139000.0
3,929000.0
2,859900.0
3,1080000.0
6,899000.0
2,924900.0
3,1274900.0
2,699000.0
3,935000.0
2,655000.0
2,699000.0
1,569900.0
2,625000.0
2,639900.0
2,1124900.0
4,3088000.0
6,2150000.0
2,999800.0
2,999000.0
2,599000.0
2,549000.0
2,639000.0
7,1150000.0
4,1895000.0
6,3679000.0
2,669990.0
3,899000.0
3,1300000.0
2,859000.0
1,669000.0
1,639000.0
4,1599900.0
2,829900.0
5,1995000.0
2,1075000.0
5,2499900.0
1,499000.0
5,2649999.0
4,1350000.0
2,650000.0
3,1249900.0
1,709000.0
3,889000.0
2,499000.0
2,619900.0
2,1349888.0
2,799990.0
4,979000.0
6,4499000.0
2,635000.0
2,949888.0
2,765000.0
2,1499999.0
1,560000.0
3,770000.0
4,1499999.0
2,849900.0
3,1649000.0
5,1688000.0
4,1450000.0
3,1200000.0
4,949000.0
8,1099000.0
2,1495000.0
1,698888.0
2,5678000.0
2,438000.0
1,559000.0
4,2099800.0
1,770000.0
4,2695000.0
3,2295000.0
3,870000.0
2,966000.0
3,1399999.0
3,1499000.0
1,549900.0
1,499000.0
2,1099900.0
1,499999.0
2,650000.0
4,1099000.0
2,819000.0
3,899000.0
5,1499900.0
3,849000.0
2,580000.0
2,825000.0
3,1299800.0
1,615000.0
2,599000.0
2,1095000.0
2,899000.0
4,8478000.0
1,585000.0
2,2550000.0
2,1495000.0
2,1300000.0
3,2095000.0
1,595500.0
2,819800.0
2,755000.0
3,918000.0
2,749000.0
4,2488888.0
5,1199000.0
3,448800.0
3,788000.0
2,697000.0
2,709000.0
2,899900.0
5,1850000.0
3,1549000.0
1,569000.0
3,1039000.0
4,1799000.0
2,899000.0
2,599000.0
2,738000.0
2,619990.0
3,1150000.0
5,3495000.0
4,2588168.0
5,1699000.0
5,1699000.0
2,1250000.0
2,799999.0
4,2449000.0
2,699000.0
3,1139900.0
6,1199000.0
1,719000.0
1,515000.0
3,1499000.0
5,1599000.0
2,729000.0
3,1390000.0
2,558900.0
1,499000.0
4,1799000.0
1,579900.0
3,1089000.0
2,899000.0
4,865000.0
4,899900.0
1,599900.0
4,2495000.0
2,799900.0
2,799000.0
1,549000.0
3,1549000.0
4,1190000.0
2,749900.0
1,625000.0
3,2799000.0
2,809000.0
3,779000.0
3,2750000.0
3,799000.0
2,679000.0
5,5899000.0
2,1200000.0
4,3999000.0
3,849900.0
2,649000.0
6,3500000.0
2,749000.0
6,2665000.0
3,915000.0
2,729888.0
3,819900.0
2,739000.0
6,3288000.0
2,850000.0
3,2028900.0
4,899888.0
5,1250000.0
1,499000.0
2,836000.0
6,1499000.0
1,799888.0
2,850900.0
2,740900.0
3,685000.0
4,1029000.0
6,1250000.0
2,509990.0
2,928000.0
2,799900.0
4,2080000.0
2,1050000.0
2,915900.0
3,1650000.0
2,499800.0
3,1199900.0
2,849000.0
2,718000.0
2,818000.0
1,685000.0
2,1039000.0
2,738000.0
2,799000.0
4,929000.0
4,1090000.0
3,979000.0
4,1099000.0
4,948800.0
6,2379000.0
2,839999.0
3,1795000.0
2,739000.0
2,839999.0
2,649800.0
1,549000.0
2,1149900.0
4,12750000.0
2,699800.0
5,3798000.0
2,699900.0
4,1250000.0
5,1449000.0
2,519888.0
3,1189000.0
2,618900.0
1,565000.0
1,545000.0
4,1345000.0
3,1999000.0
2,1100000.0
6,2199888.0
3,899000.0
2,749000.0
4,2229000.0
2,689000.0
2,1138000.0
2,999000.0
2,725000.0
2,1100000.0
2,609999.0
1,599000.0
7,1060000.0
1,598000.0
3,588000.0
2,999000.0
5,5999999.0
4,1800000.0
3,899000.0
2,659900.0
3,1000000.0
2,1094000.0
4,1250000.0
4,1300000.0
2,698000.0
2,1649000.0
3,1079000.0
4,2149000.0
3,932900.0
2,680000.0
1,649000.0
3,2399000.0
2,569900.0
2,678000.0
4,1899000.0
2,729000.0
5,3349000.0
1,749000.0
2,1275000.0
6,8688000.0
1,619000.0
3,524999.0
2,599999.0
2,1595900.0
3,1975000.0
3,1399000.0
4,1099000.0
1,559900.0
2,845000.0
4,2698000.0
4,2998000.0
2,749900.0
3,725000.0
4,1199900.0
2,839999.0
4,999900.0
4,929000.0
5,1480000.0
4,1129000.0
1,942000.0
3,925000.0
2,769900.0
3,1079000.0
4,1699000.0
2,695000.0
1,649000.0
2,1019000.0
2,658000.0
2,999900.0
1,688000.0
3,949900.0
1,489900.0
2,669800.0
5,1579900.0
2,939000.0
2,860000.0
1,658000.0
4,3450000.0
2,649000.0
4,3849000.0
5,2999000.0
2,898000.0
5,7995000.0
1,639900.0
2,584000.0
2,1199900.0
2,919900.0
2,1428000.0
5,12750000.0
4,1575000.0
3,699000.0
2,988000.0
4,1379900.0
4,2549000.0
2,744999.0
3,1849000.0
3,989000.0
3,850000.0
3,4336900.0
4,1329999.0
3,1399900.0
2,657999.0
4,998000.0
4,999000.0
3,949000.0
6,3249000.0
4,1099000.0
2,729000.0
5,2850000.0
2,999900.0
2,738000.0
2,719900.0
2,804800.0
4,1399000.0
4,999000.0
2,879000.0
2,899000.0
1,599000.0
2,650000.0
1,599900.0
4,949000.0
3,899000.0
2,619900.0
3,749000.0
3,1799000.0
5,1588000.0
1,648800.0
6,3249000.0
2,718000.0
2,795000.0
2,999000.0
2,995900.0
2,789000.0
1,575000.0
3,1799000.0
2,679900.0
2,499999.0
3,699000.0
2,758000.0
2,799000.0
2,738000.0
1,1338000.0
1,549000.0
2,749000.0
11,2199000.0
6,1279900.0
9,3598000.0
4,2285000.0
3,1859000.0
2,619000.0
3,968000.0
4,1649000.0
2,1089000.0
3,848000.0
3,949000.0
4,1039900.0
3,1079000.0
4,1049000.0
1,645000.0
1,539000.0
2,679800.0
1,610000.0
2,874000.0
3,1988000.0
3,1399000.0
2,888000.0
3,1188000.0
2,649000.0
2,899880.0
3,1895000.0
1,529000.0
2,789000.0
6,1599900.0
2,679900.0
4,2159000.0
5,1975000.0
2,1129000.0
3,1147000.0
2,969900.0
4,1499990.0
5,989900.0
2,899900.0
1,579000.0
2,675000.0
2,574900.0
2,699000.0
4,1950000.0
1,499000.0
5,2000000.0
5,1989000.0
3,1289000.0
2,739000.0
3,899000.0
3,999888.0
1,585000.0
2,749900.0
1,499999.0
4,949000.0
1,2095000.0
4,499000.0
3,1049900.0
2,1048000.0
4,749900.0
3,1699000.0
2,500000.0
1,1399000.0
2,699888.0
1,788888.0
4,1249900.0
3,1720000.0
3,1249000.0
2,399900.0
3,499990.0
4,1699999.0
4,949000.0
2,499999.0
3,925000.0
